iter	Passed	Remaining
0	147	146946
1	149	74617
2	152	50573
3	153	38311
4	155	30981
5	156	25938
6	157	22387
7	158	19669
8	160	17631
9	160	15935
10	161	14561
11	164	13533
12	165	12594
13	166	11722
14	166	10962
15	167	10295
16	167	9708
17	168	9183
18	169	8744
19	170	8346
20	171	7977
21	171	7634
22	172	7341
23	173	7071
24	175	6826
25	176	6598
26	177	6380
27	177	6172
28	178	5979
29	179	5801
30	180	5636
31	182	5505
32	182	5348
33	183	5203
34	183	5064
35	184	4943
36	185	4828
37	186	4716
38	187	4611
39	188	4517
40	189	4421
41	190	4338
42	191	4252
43	191	4170
44	192	4089
45	193	4021
46	194	3944
47	195	3871
48	196	3804
49	196	3735
50	197	3673
51	198	3613
52	199	3559
53	200	3505
54	200	3449
55	201	3395
56	201	3341
57	202	3291
58	203	3243
59	203	3195
60	204	3151
61	205	3105
62	205	3063
63	206	3023
64	207	2987
65	208	2950
66	209	2913
67	209	2872
68	210	2837
69	210	2802
70	211	2767
71	212	2733
72	212	2700
73	213	2671
74	214	2641
75	214	2610
76	215	2582
77	216	2553
78	216	2525
79	217	2498
80	217	2471
81	218	2445
82	219	2421
83	219	2396
84	220	2370
85	220	2345
86	221	2320
87	221	2297
88	222	2275
89	222	2254
90	223	2232
91	224	2211
92	224	2191
93	225	2172
94	226	2153
95	226	2133
96	227	2114
97	227	2095
98	228	2076
99	228	2059
100	229	2041
101	229	2022
102	230	2005
103	230	1988
104	231	1971
105	231	1955
106	232	1939
107	232	1923
108	233	1909
109	234	1895
110	234	1881
111	235	1868
112	236	1855
113	236	1841
114	237	1828
115	238	1813
116	238	1802
117	239	1790
118	240	1777
119	240	1765
120	241	1754
121	242	1742
122	242	1729
123	243	1717
124	243	1706
125	244	1694
126	244	1683
127	245	1670
128	245	1660
129	246	1649
130	247	1640
131	247	1630
132	248	1620
133	249	1610
134	250	1601
135	250	1592
136	251	1583
137	251	1573
138	252	1564
139	253	1555
140	253	1546
